eps,k,capacity,n_distinct,used_mem,Lsys,Ld,Ls,Ly,disp,spec,synth
23.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
24.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
25.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
26.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
27.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
28.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
29.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
30.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
31.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
32.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
33.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
34.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
