eps,k,Q,disp,spec,synth,used_mem,lat,f1,qs,qy
7.5,3,1.380202222222222,phi3.5-mini__Q3_K_M__c4096,smollm2-360m__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,6.025390625,7.336855427702698,0.6572,0.6384222222222222,0.6432
8.0,3,1.3905371428571427,phi3.5-mini__Q3_K_M__c4096,smollm2-360m__Q8_0__c4096,llama3.2-1b__Q5_K_M__c8192,5.884765625,7.80963244762404,0.6572,0.6487571428571428,0.6432
9.0,3,1.4561577777777779,phi3.5-mini__Q3_K_M__c4096,llama3.2-1b__Q5_K_M__c8192,smollm2-360m__Q3_K_M__c8192,6.025390625,8.914742007685868,0.6572,0.7539777777777777,0.6036
9.5,3,1.4662577777777779,phi3.5-mini__Q3_K_M__c4096,llama3.2-1b__Q5_K_M__c8192,qwen2.5-0_5b__Q3_K_M__c8192,5.94921875,9.093054847678445,0.6572,0.7539777777777777,0.6137
10.0,3,1.4957577777777777,phi3.5-mini__Q3_K_M__c4096,llama3.2-1b__Q5_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,5.224609375,9.703685297677453,0.6572,0.7539777777777777,0.6432
10.5,3,1.5054577777777778,phi3.5-mini__Q3_K_M__c2048,llama3.2-1b__Q5_K_M__c8192,llama3.2-1b__Q8_0__c8192,6.365234375,10.424049089092591,0.6572,0.7539777777777777,0.6529
12.0,3,1.5291807142857141,smollm2-360m__Q5_K_M__c8192,llama3.2-1b__Q5_K_M__c4096,gemma2-2b__Q5_K_M__c8192,5.2109375,11.938131232069736,0.4213,0.7517857142857142,0.7142
12.5,3,1.5648977777777777,gemma2-2b__Q5_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,gemma2-2b__Q5_K_M__c8192,4.7421875,12.133527087526431,0.6448,0.7539777777777777,0.7142
13.0,3,1.5822577777777778,phi3.5-mini__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,phi3.5-mini__Q3_K_M__c8192,6.982421875,12.722046998447809,0.6572,0.7539777777777777,0.7297
17.0,3,1.596955714285714,mistral-7b__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c4096,mistral-7b__Q3_K_M__c8192,6.04296875,16.944752079328964,0.5338,0.7517857142857142,0.7651
17.5,3,1.5991477777777776,mistral-7b__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,mistral-7b__Q3_K_M__c8192,6.42578125,17.01238692932725,0.5338,0.7539777777777777,0.7651
